Number,System,CPU,RAM,ROM,Solid,Screen,Time,Weight,Price
微软_10075070442,windows,,,,,,13.5小时,0,6138.00
微软_10075070448,windows,,,,,,13.5小时,0,7138.00
微软_10482826620,windows,,,,,,,约770克,9538.00
微软_12681753538,windows,酷睿双核,,其它,128GB SSD,13.5英寸,>8小时,1.25,6538.00
微软_24618704439,windows,,,,,,,约770克,6138.00
微软_26386543545,windows,,,,,,,约770克,6138.00
微软_27906084101,windows,,,,,,以实际使用为准,约770克,7738.00
微软_28724209167,windows,,,,,其它,其它,784G,9788.00
微软_28760306278,windows,酷睿双核,,其它,128GB SSD,13.5英寸,>8小时,1.25,4788.00
微软_30278553391,windows,,,,,,9个小时,,3338.00
微软_7649997,windows,Intel Core M3,4GB,无机械硬盘,128GB SSD,其它,>8小时,约1068g,4688.00
惠普_100000350914,windows,i5-8265U1.6-3.9GHz,,其它,256G-PSD,14.0英寸,>8小时,1.59kg,4899.00
惠普_100000350916,windows,i5-8265U1.6-3.9GHz,,其它,256G-PSD,14.0英寸,>8小时,1.59kg,4899.00
惠普_100000350918,windows,i5-8265U1.6-3.9GHz,,其它,256G-PSD,14.0英寸,>8小时,1.59kg,4899.00
惠普_100000402913,windows,i7-8565U1.8-4.6GHz,,1TB,128GB SSD,14.0英寸,>8小时,1.59kg,6299.00
惠普_100000509239,windows,i7-8565U1.8-4.6GHz,8GB,无机械硬盘,256G PCIE SSD,13.3英寸,>8小时,1.3 kg,5699.00
惠普_100000509341,windows,i7-8565U1.8-4.6GHz,8GB,无机械硬盘,256G PCIE SSD,13.3英寸,>8小时,1.3 kg,5699.00
惠普_100000509393,windows,Intel 第8代 酷睿i7-8550U1.8GHz,8GB,1TB,16G Optane SSD,14.0英寸,其它,1.64 千克起 (最小重量配置。重量会因配置的不同而有所差异。),5999.00
惠普_100000511418,windows,i7-8565U1.8-4.6GHz,8GB,无机械硬盘,256G PCIE SSD,13.3英寸,>8小时,1.3 kg,5699.00
惠普_100000511428,windows,i5-8265U1.6-3.9GHz,8GB,无机械硬盘,256G PCIE SSD,13.3英寸,>8小时,1.3 kg,4999.00
惠普_100001024587,windows,Intel 第8代 酷睿i7-8750H2.2GHz,8GB,其它,SSD 256GB PCIe NVMe TLC,15.6英寸,其它,起重 2.06千克 （重量会因配置不同而有所差异。）,9499.00
惠普_16883013426,windows,Intel 第8代 酷睿,8GB,其它,,15.6英寸,>8小时,2.1KG,6988.00
惠普_25705393052,windows,酷睿四核2.5GHz,,500GB,其它,15.6英寸,5-8小时,0,5099.00
惠普_25705393053,windows,酷睿四核2.5GHz,,500GB,其它,15.6英寸,5-8小时,0,5499.00
惠普_25705393059,windows,酷睿四核2.5GHz,,500GB,其它,15.6英寸,5-8小时,0,5499.00
惠普_27914580585,windows,酷睿四核,,其它,,14.0英寸,>8小时,2.12,6399.00
惠普_28222281674,windows,Intel 第8代 酷睿i5-8250U1.6GHz,,1TB,,17.3英寸,>8小时,2.5,6899.00
惠普_28278002543,windows,酷睿四核i5-8250U,,500GB,,15.6英寸,2-5小时,0,5299.00
惠普_33318802070,windows,Intel 第8代 酷睿i5-8300H,,1TB,,15.6英寸,2-5小时,2.0,6299.00
惠普_5408932,windows,Intel 第8代 酷睿i7-8550U1.8GHz,8GB,1TB,128GB SSD,14.0英寸,其它,1.5-2千克,6299.00
惠普_7374698,windows,AMD 四核处理器AMD R7 PRO 2700U2.2GHz,,其它,SSD 256GB PCIe NVMe TLC,13.3英寸,其它,1.33千克（产品重量因实际配置不同略有不同）,5799.00
惠普_7552874,windows,Intel 第8代 酷睿带有英特尔 超高清显卡 630 的英特尔 酷睿 i7-8750H 处理器2.2 Ghz 基础频率、使用英特尔 睿频加速技术时最高可达 4.1 GHz、9 MB 高速缓存、6 核,16GB,1TB,512GB SSD,15.6英寸,>8小时,起重 2.14 千克,9999.00
惠普_7671923,windows,赛扬双核N40001.1 GHz,4GB,其它,256GB SSD,14.0英寸,其它,1.5-2kg,2599.00
惠普_7671945,windows,酷睿双核i3-7020U2.3GHz,4GB,500GB,,14.0英寸,其它,1.5-2kg,2999.00
惠普_7671977,windows,酷睿双核i3-7020U2.3GHz,4GB,其它,256GB SSD,14.0英寸,其它,1.5-2千克,3299.00
戴尔_100000117758,windows,Intel Core i5-8265U,,无机械硬盘,256GB SSD,14.0英寸,>8小时,<1.5kg,5299.00
戴尔_100000376372,windows,Intel Core i5-8265U,,无机械硬盘,256GB SSD,14.0英寸,>8小时,<1.5kg,4899.00
戴尔_100000376378,windows,Intel Core i5-8265U,,无机械硬盘,256GB SSD,14.0英寸,>8小时,<1.5kg,5399.00
戴尔_100001160889,windows,Intel Core i7-8565U,,1TB,128GB SSD,15.6英寸,5-8小时,1.5kg-2kg,6399.00
戴尔_11038818380,windows,Intel 第8代 酷睿,,1TB,128GB SSD,15.6英寸,"2-3小时, 具体时间视使用环境而定",2,7799.00
戴尔_11095833323,windows,Intel 第8代 酷睿i7-8550U,8GB,1TB,128GB SSD,15.6英寸,2-5小时,2Kg,6599.00
戴尔_11943204393,windows,酷睿四核i5-8250U1.6GHz,,1TB,,15.6英寸,"2-3小时, 具体时间视使用环境而定",2.25,4199.00
戴尔_11974345922,windows,Intel 第8代 酷睿i5-8250U,4GB,其它,,15.6英寸,其它,2KG,4799.00
戴尔_13760780684,windows,Intel 第8代 酷睿i5-8250U1.6GHz,4GB,其它,128GB SSD,13.3英寸,"2-3小时, 具体时间视使用环境而定",1.5,4199.00
